"","rownames","bia_di","bii_di","bit_di","che_de","che_di","elb_di","wri_di","kne_di","ank_di","sho_gi","che_gi","wai_gi","nav_gi","hip_gi","thi_gi","bic_gi","for_gi","kne_gi","cal_gi","ank_gi","wri_gi","age","wgt","hgt","AgeGroup","Sex"
"138",138,39.4,29.7,33.1,23,30.4,14.2,11.6,20.4,15,119.4,108.4,97.4,103.7,105.3,55.6,36.6,28.4,38.2,36.6,22.9,18.1,45,84.5,167.6,"40-49","Male"
"139",139,40.9,26.1,27.5,20.2,28,13.2,10.4,18.6,14.8,108.4,94.3,73.7,74.5,88.2,52.3,29.6,26.2,35.2,36.2,21.2,16.2,30,64.5,175.3,"30-39","Male"
"140",140,41.1,23,29.4,21.8,30.6,15,10.8,19.3,14.5,122.4,109.1,76.1,90.1,93.3,51.7,37,30.6,36.8,37.7,23.6,18.5,20,69.1,170.2,"20-29","Male"
"141",141,43.6,28,32.4,27.5,33.5,14.6,11.7,21.4,15.1,128.8,115,95.6,101.9,107.9,64.6,37.1,30,41.8,39.6,24.7,18.2,22,108.6,190.5,"20-29","Male"
"142",142,39.8,29,34.9,22.5,28.3,14.3,11.7,19.8,15.4,118,104.4,101,98.9,103.3,54.4,38.1,29.8,39.7,41.8,25,19.6,51,86.4,177.8,"50-59","Male"
"143",143,42.1,27.8,31.7,20.2,28.7,14.3,11.5,19.6,15.6,116.5,100.1,84.5,84.5,94.4,54.7,33.9,28.6,38.5,37.6,25,17.7,34,80.9,190.5,"30-39","Male"
"144",144,41.1,27.1,33.8,24.9,29.4,14.4,12.4,18,15.1,120.4,108.4,98,101.8,101.5,56.9,38.2,29.9,37.7,39.2,24.9,17.6,44,87.7,177.8,"40-49","Male"
"145",145,44.2,30.4,36.5,21.6,31.5,15.4,11.6,20.4,15.4,123.1,107.3,101.6,103.8,110,57.8,34.9,28.9,40.3,40,23.7,18.1,46,94.5,184.2,"40-49","Male"
"146",146,38.9,26.8,31.5,20.4,29,13.6,10.8,18.9,15.2,117.2,101.8,87.8,90.2,98.4,55.6,33.1,28.4,38.2,37.7,24.5,17.1,34,80.2,176.5,"30-39","Male"
"147",147,40.1,28.7,32.2,18,29.4,15.2,11.8,20.7,15.4,113,94.5,80,85,95,52,31.5,26.5,36.9,36.4,22.9,17,32,72,177.8,"30-39","Male"
"148",148,38.7,26.8,31.5,18,27.8,12.9,10.4,18,14.3,109.4,91.7,81.8,82.9,98.3,56.3,31,25.7,35,33,22,15.5,28,71.4,180.3,"20-29","Male"
"149",149,35.6,26.4,30.8,19.2,29.4,14.6,11.5,19.6,15.3,105.7,95.9,84.4,86.8,99,55,30.5,26.4,36.1,38.4,21.3,16.4,31,72.7,171.4,"30-39","Male"
"150",150,40.5,26.8,30.6,21.4,32.4,15,11.8,20.4,15.8,119.7,110.5,85,83.5,95.7,59,39.2,29.9,37.9,37.7,23.8,17.1,29,84.1,172.7,"20-29","Male"
"151",151,41.1,25.4,32,21.6,28.7,14.3,12.4,19.6,14.3,118,104,90,86,96,52.5,33.5,29.1,36,36.9,23,18,42,76.8,172.7,"40-49","Male"
"152",152,38.7,26.1,29.2,18.2,24.9,13.6,10.4,17.6,14.2,104.3,86.8,72.9,73.4,89.5,51,29.8,24.8,32.6,33.1,22.1,16.3,29,63.6,177.8,"20-29","Male"
"153",153,38.9,27.1,30.4,20.4,28.7,14.8,11.7,19.4,14.6,114.1,106.7,81,80.2,93.7,54.8,35.5,30.6,36.9,37.3,22.7,16.8,31,80.9,177.8,"30-39","Male"
"154",154,39.4,29.7,33.1,22.3,31.5,15.6,12,19.5,14.8,119,102.5,86.5,89,97,57,34,28.4,38,37,22.5,17.4,30,80.9,182.9,"30-39","Male"
"155",155,37.6,27.8,32.2,20.2,31.3,14.6,11,21.5,15.8,113.8,103,93.9,98.6,103.6,60.5,34.4,28.5,40.9,40.8,24.6,17.1,27,85.5,170.2,"20-29","Male"
"156",156,39.8,25.9,31.3,19.4,29.2,14.3,11.2,18.7,14.3,118,95,77,78,93,52,32.6,28.4,34.4,34.4,20,16.5,25,68.6,167.6,"20-29","Male"
"157",157,40.3,27.3,30.4,20.4,29,15,11.3,19.1,14.6,116,99,75,75,90,50.6,32,27.3,33.8,34,22,17,24,67.7,175.3,"20-29","Male"
"158",158,40.3,25.2,29.2,18.7,28.5,13.2,10.2,18.9,14.3,108.3,89.7,80.6,80.8,90,55.5,28.9,25,34.6,37.4,23,16.4,33,66.4,165.1,"30-39","Male"
"159",159,43.8,30.4,34.9,24,33.3,15.4,11.6,17.8,14.6,129.2,111.5,100.5,107.3,109.5,61.8,37.4,31.6,41,39.7,25.4,18.4,45,102.3,185.4,"40-49","Male"
"160",160,41.1,27.8,32.9,18,26.8,14.6,11.2,19.5,15.8,109.2,94.1,81.2,84,91.6,51.5,33,27,35.2,35.5,23.1,16.3,37,70.5,181.6,"30-39","Male"
"161",161,41.7,30.6,34.7,24.9,32,14.9,10.8,18.9,14.1,124.3,118.3,103.4,106.2,108.5,60.5,35.4,29.7,42.3,40.8,24.8,17.1,44,95.9,172.7,"40-49","Male"
"162",162,45.4,30.8,35.6,20.9,29.7,15.2,10.8,18.6,15,122.6,106.5,90.3,101.1,101.6,57.2,35.4,28.6,40.4,37.8,24.9,17.9,34,84.1,190.5,"30-39","Male"
"163",163,43,30.8,34.7,22.1,32.2,16,13.2,19.5,16.1,122.4,110.4,98,98,99.6,56.7,36.4,29.2,40.9,42.1,26.1,19.5,55,87.3,179.1,"50-59","Male"
"164",164,41.1,25.4,30.4,19.2,29.9,14.8,10.6,18.7,15.2,114.9,102.3,86.5,87.7,91.9,55,35,28.9,38.3,37.8,24,17.3,43,71.8,175.3,"40-49","Male"
"165",165,41.1,29.2,31.5,19.7,29.9,14.8,11,18,15,111.1,98.5,77.9,87.3,90.8,50.8,35,28.4,35.5,35,21,16.6,24,65.9,170.2,"20-29","Male"
"166",166,45.2,32.2,36,22.5,33.5,15.8,11.3,20.5,14.8,126,111.6,89.1,95.1,104.8,62.7,37.9,31.2,41.1,41.2,27.7,18.1,22,95.9,193,"20-29","Male"
"167",167,39.8,34.7,34.7,23.5,30.2,14.8,10.6,20.6,14.3,115.5,106.7,93.9,111.8,111.4,62.8,36.2,29.7,42.8,39.3,23.5,16.8,38,91.4,171.4,"30-39","Male"
"168",168,39.6,28.7,32,20.2,32.9,14.3,11.5,19.6,15.1,124.7,110.4,85.3,82.9,96.5,57,39,29.8,36.8,36,21.6,17.3,24,81.8,177.8,"20-29","Male"
"169",169,42.3,30.2,34.4,25.4,32.2,15.2,10.7,18.8,14.8,125.3,114,98.5,103.8,108.1,61.3,37.2,31.4,41.9,42.1,26.4,17.9,29,96.8,177.8,"20-29","Male"
"170",170,40.9,29,32.2,20.2,29.2,13.8,10.4,18.4,14.4,118.2,101.8,79.5,90.1,95.3,54.8,34.2,28.5,36.6,36.2,22.8,17.3,25,69.1,167.6,"20-29","Male"
"171",171,39.8,28,34.2,23.3,31.5,14,11,19.7,13.8,124.3,109.6,94.9,94.7,104.3,59,35.9,27.8,37.7,36.8,23.2,16.5,37,82.7,167.6,"30-39","Male"
"172",172,42.3,27.1,31.7,17.3,29.4,14.4,11.6,21.2,15.8,118.3,100.7,76.5,87.2,96.3,54.2,33.8,27.7,36.4,38.2,23.8,18.2,30,75.5,180.3,"30-39","Male"
"173",173,42.3,26.8,32,25.4,28.7,15,11.2,18.4,14.4,122.3,104.3,88.4,89.6,98.8,54.8,35.5,29.7,37.7,37,23.7,18.3,26,79.5,182.9,"20-29","Male"
"174",174,40.5,28.7,30.4,22.1,29.2,14.3,11.2,18.5,14.5,116.5,104.2,84.2,84,93.2,55,33,25.4,35.6,36.4,22.8,15.9,35,73.6,176.5,"30-39","Male"
"175",175,42.7,28.5,36.7,23.7,30.8,15.8,12.9,19.3,16,123,107.4,87.6,89.4,106.7,60.9,38.3,31.2,39,42.6,25.8,18.8,29,91.8,186.7,"20-29","Male"
"176",176,43.6,30.8,33.3,20.4,29.7,14.3,10.9,19.6,15.4,117.6,101,83.7,91.1,99.9,56.8,33.5,27.7,38.7,41.8,29.3,18,30,84.1,188,"30-39","Male"
"177",177,42.5,31.3,33.1,19.4,32,14.8,11.3,20.1,15.5,117.5,103,92.1,91.3,103.8,56.6,33.3,27.7,37.1,37.4,22.6,17.1,37,85.9,188,"30-39","Male"
"178",178,41.3,30.8,33.3,22.5,28.3,13,10.5,19.7,13.4,117.3,107.2,89.9,94.7,107.1,59.2,35.3,26.9,36.6,32.3,22,17.1,34,81.8,177.8,"30-39","Male"
"179",179,41.3,24.7,35.4,22.5,30.2,14.8,11.3,20.4,16,114.5,99,88.7,91,100,57.5,34,28.3,40.9,38.8,26.4,18.1,28,82.5,174,"20-29","Male"
"180",180,42.3,26.6,33.3,23.3,28.7,14.2,11.1,19.5,14.3,122.9,100.3,83.9,89.4,103.9,59.8,36.1,29.4,37,36.5,24.3,18.7,27,80.5,177.8,"20-29","Male"
"181",181,36.9,25.9,31.7,19.9,27.3,14.8,10.6,19.4,14.3,115.5,100.2,79.5,88.7,95.3,52.5,34.6,25.8,35.6,35.1,21.8,16.3,32,70,171.4,"30-39","Male"
"182",182,40.3,28.5,35.1,19.2,32,14.8,12,21.2,16.2,116.1,99.8,84.5,92.6,99.5,59.2,34.3,29,36.5,38.5,24.5,17.3,28,81.8,185.4,"20-29","Male"
"183",183,40.1,26.4,32,21.4,32.6,14.8,12,20,15.2,121.6,107.5,89.2,88.4,107,56.9,35.6,28.5,37,37.6,23,17.5,22,84.1,185.4,"20-29","Male"
"184",184,43.2,31.3,34,23,32.6,15.7,11.5,20.5,15.2,131.6,110.1,90.7,91.9,101.7,58,36.8,29,36.9,38.9,24.2,17.9,44,90.5,188,"40-49","Male"
"185",185,45,29,33.3,25.4,30.8,15.4,11,18.8,15,124.5,107,88.8,97.5,103.8,61,36.7,28.6,38.4,39.5,24.4,16.8,25,91.4,188,"20-29","Male"
"186",186,42.1,29.7,35.6,23.5,31.3,14.3,11,18.2,14.8,115.6,105.6,103.6,100.7,100.6,55.3,33.6,26.9,37.8,37.9,23.9,17.1,49,89.1,182.9,"40-49","Male"
"187",187,40.9,28.7,33.5,23.7,30.2,15.8,11.6,19.3,16.8,117,103.6,98.5,99.9,103.6,57.5,33.7,29,38.7,36.7,24.3,17.7,54,85,176.5,"50-59","Male"
"188",188,41.3,27.3,32.2,20.2,28.3,13.8,11.4,18,13,108.6,97.1,82.9,88.1,91.2,51.7,30.7,25.7,33.9,33.4,21.2,16.7,49,69.1,175.3,"40-49","Male"
"189",189,42.1,29.7,32.9,24.9,30.8,15.3,11.5,19.2,14.6,120.2,109.8,90.5,92.3,95.2,52.4,35.8,28.7,32.5,36.5,23.7,17.5,60,73.6,175.3,"60-69","Male"
"190",190,45.2,29.7,33.8,19.9,32,15.5,11.8,19.6,16.1,116.2,103.3,84.5,94.5,98.2,53.7,32.5,27.8,36,36.3,22,17.7,42,80.5,188,"40-49","Male"
"191",191,42.1,31.1,34.9,22.1,31.3,15.2,11,19,14.4,115.4,103.7,86,93.8,97.1,53.1,33.9,27.3,35.7,36.6,22.6,17.5,52,82.7,188,"50-59","Male"
"192",192,41.2,29.8,32.2,22.4,29.8,15.6,11.2,19.6,14.8,120,108.5,84.2,88.9,97.5,58.8,36.6,29.9,34.2,34.8,22,18.1,23,86.4,175.3,"20-29","Male"
"193",193,41.7,29.2,33.8,19.2,29.7,13.8,10.7,18.6,14.2,110.3,97.8,85.7,89.5,94.9,51.7,32.2,26.4,34.4,32.6,22,16.4,33,67.7,170.5,"30-39","Male"
"194",194,43,29.4,33.8,24.7,31.5,14.2,11.2,19.4,14.2,119.7,112.7,112.1,105.9,106.3,56.9,35.7,27.8,37.3,36.6,22.7,16.4,46,92.7,179.1,"40-49","Male"
"195",195,41.7,28.5,33.8,23.5,32.9,15.6,12,18.4,16.3,123.5,111.4,99.7,102.9,105.8,57.8,36.5,30.5,39,41.2,25.7,18.8,43,93.6,177.8,"40-49","Male"
"196",196,38,29.7,34,22.8,27.3,13.1,10.8,17.3,15.5,107.8,95.1,84.7,92.9,96.7,54.6,32.8,25.3,36.6,35,23.5,17.1,56,70.9,175.3,"50-59","Male"
"197",197,41.9,27.8,33.3,19,28.7,15.1,11.3,19.2,14.9,118.7,100.2,80.3,92.4,96.4,53.8,35.7,29.2,38.4,37,25.6,17.9,21,75,182.9,"20-29","Male"
"198",198,40.7,28,35.3,19.4,31.7,14.4,10.7,18.6,14.4,120.7,106.3,98.6,111.7,118.7,70,37.1,27.8,37.5,39.2,25.7,15.9,18,93.2,170.8,"18-19","Male"
"199",199,41.3,29.7,34.7,22.8,32,15.5,11.2,18.4,15.6,118.7,109.5,90,96.2,104.3,63.5,39.4,29.9,37.4,37.3,24.3,17.2,21,93.2,188,"20-29","Male"
"200",200,40.9,28.7,32.9,21.6,30.6,15,11,18.7,13.8,118,106.3,86.6,93.9,95.9,53.6,34.4,28.6,35,34.1,21.7,17.1,45,77.7,180.3,"40-49","Male"
"201",201,41.7,26.8,32,19.7,27.8,14,10.5,18.4,14.6,105,91.5,80.2,85.7,89.2,48.5,28.7,25,35.4,32.3,23,16.2,22,61.4,177.8,"20-29","Male"
"202",202,41.3,31.1,34.9,26.4,30.2,15,11.6,18.8,15.8,110.6,104.9,109.2,104.4,101.7,56.4,34,29.2,39.3,38.5,24.3,17.4,55,94.1,185.4,"50-59","Male"
"203",203,41.1,27.8,32,21.1,30.6,14.8,11.4,17.6,14.2,123.1,109.6,88.4,92,95.1,52.5,39.4,29.8,34.5,34,22,17,42,75,168.9,"40-49","Male"
"204",204,43.4,27.3,34.7,19.9,31.3,14,11.2,20.2,14.3,121,102.5,81,84.5,105,56,31.5,26.5,38.5,36.9,21.3,16.6,29,83.6,185.4,"20-29","Male"
"205",205,40.7,27.8,34,21.1,29.4,15.6,12,21.2,16.4,111.7,101.2,88.8,90.8,101.3,62.5,35.2,28.9,40.6,39.2,23,17.5,40,85.5,180.3,"40-49","Male"
"206",206,42.5,25.2,30.6,20.9,30.4,15.3,11.4,18.9,13.8,111,98.7,78.1,78.6,92,56.5,35.7,29.2,36.4,37,22,17.2,24,73.9,174,"20-29","Male"
"207",207,40.3,28.3,30.6,18.2,29.2,12.9,10.6,20.2,14.2,112,96,81.5,80.5,89.5,52,30.3,25,36,35,22.4,16.7,62,66.8,167.6,"60-69","Male"
"208",208,39.8,27.8,32.9,22.3,29.7,16.6,11.8,20.8,15.3,115.9,104.2,87.6,89.6,100.5,60.7,36.5,31.1,40.7,38.4,22.9,17.9,26,87.3,182.9,"20-29","Male"
"209",209,39.8,28.3,30.4,19.7,30.2,12.9,11,18.6,12.7,121,103,92.5,88.5,94,55,36,28,36.5,37,21.8,17.5,35,72.3,160,"30-39","Male"
"210",210,40.5,29.9,34.9,21.4,32.9,14.5,11.7,20.4,15,123.6,107,97,95.5,104.5,56.6,34.4,28.9,40,38.5,24,17,37,88.6,180.3,"30-39","Male"
"211",211,41.1,26.8,32.4,20.2,31.1,14.4,11.8,20.4,15.2,120,101,82,82,98,59,35.4,29,38,42,23.6,17.5,34,75.5,167.6,"30-39","Male"
"212",212,42.5,29.4,34.2,23.5,34.7,15.1,11.8,21.8,15.8,128.7,112.1,99.5,97.8,107.4,60.5,35.5,28.8,42.9,38.7,25.7,17.1,25,101.4,186.7,"20-29","Male"
"213",213,42.5,29.4,34.4,19.9,34,14.5,11,21.3,14.4,124.5,103.4,93.8,92.7,112.2,66.2,34.8,30.1,45.7,43.6,26.9,17,30,91.1,175.3,"30-39","Male"
"214",214,38.5,24.4,30.4,18,29.9,14.3,10.1,18.3,13.2,112.4,100.3,79.1,80.4,94.3,51,32.6,27.2,36.1,32.7,22.5,17.9,32,67.3,175.3,"30-39","Male"
"215",215,43.8,29.2,35.6,19.9,28.3,14.8,12.8,20.7,14.3,112.2,95.7,85.8,94.7,106.8,60.6,33.6,27.3,37.5,41.8,26.2,17.8,27,77.7,175.9,"20-29","Male"
"216",216,41.5,29,33.3,21.4,32.4,15.3,11,20.6,15,127,108,90.8,92.4,100.3,56.5,36.8,29.3,37.5,36.3,23.4,16.7,42,81.8,175.3,"40-49","Male"
"217",217,40.3,27.8,33.5,20.6,29.9,15.3,11.2,20.4,13.8,115.3,101,85.4,86.9,101.8,57,34,27.1,39.4,37.1,23.7,16.6,44,75.5,179.1,"40-49","Male"
"218",218,40.3,30.2,32.2,20.6,29.2,14.5,11.5,20,16.9,111.5,98.6,91.6,102.1,106.7,57.8,32.3,27.9,41.8,41.5,27.7,18.1,46,84.5,181.6,"40-49","Male"
"219",219,42.1,27.1,32.2,20.2,30.6,13.7,10.8,18.9,14.3,118.3,101.6,79.7,82,98.4,58.1,36.5,31,38,38.1,25.3,17.7,19,76.6,177.8,"18-19","Male"
"220",220,42.1,31.3,35.1,20.6,31.1,16.7,12,21,15.1,118,99,86.1,90.8,101.3,56,33.5,28.3,37.7,38.3,25.2,17.4,43,85,182.9,"40-49","Male"
"221",221,38.9,29.4,33.3,24.2,33.5,14.2,12.8,20.6,15.5,127,116.7,113.2,102.9,107.9,57.7,37.4,28.9,37.8,37.4,24.1,17.1,28,102.5,177.8,"20-29","Male"
"222",222,44.4,24,30.2,20.6,32,14.2,11.2,20.2,14.5,124.4,105,79.5,85.8,92.7,51.8,36.2,27,33.9,28.9,20.3,15.8,39,77.3,184.2,"30-39","Male"
"223",223,40.9,24.4,28.7,18.7,29,14.3,11.4,17.8,14.6,112.4,95.1,85.4,84.1,94.3,52.7,31.2,25.9,37.4,34.4,24.5,17.1,30,71.8,179.1,"30-39","Male"
"224",224,42.1,28.7,33.5,25.2,29.4,14.3,11.5,18,13.8,125.8,106.7,97.9,94.7,104.6,60.8,36.2,28.7,37.7,39.4,22.6,17.5,36,87.9,176.5,"30-39","Male"
"225",225,43,27.1,33.5,25.2,31.5,15.2,11.8,19.3,15.1,131.7,116.6,94.7,93.1,103.3,58,42.3,31.9,39.9,39.6,25.5,18.9,48,94.3,188,"40-49","Male"
"226",226,38,27.1,32.2,20.6,28,13.9,10.3,19.1,14,117.3,103.5,86.1,90.5,96.7,55.2,34.5,27.7,37.3,34.8,22.5,16.4,48,70.9,174,"40-49","Male"
"227",227,37.1,24.2,30.6,17.7,27.8,13.8,11,17.8,14.6,107.6,90.4,84.9,83.7,97.9,51.8,28,25.2,37.5,36,21.3,15.1,53,64.5,167.6,"50-59","Male"
"228",228,41.1,24,29.4,21.6,30.8,13.6,11.7,18.8,14.6,122.4,107.5,92.2,88.6,97.5,53.7,34.3,27.6,36,37.5,23.3,16.7,45,77.3,170.2,"40-49","Male"
"229",229,40.9,24.4,30.6,19.7,29.9,13.8,11.5,19,15.1,117,100.8,83.7,82.5,97.7,53.3,32.5,27.1,35.4,37,22.7,16.6,39,72.3,167.6,"30-39","Male"
"230",230,38.9,27.1,31.7,21.6,29.7,15,12.2,20.5,15.2,119,104.2,97.8,93.6,102.5,58,35.8,29.4,39,38.1,23,17,43,87.3,188,"40-49","Male"
"231",231,40.9,28.3,34,23.7,28.5,14.3,12,19,14.3,123.5,104.9,98.6,99.2,103.3,55.3,35,29.3,35.9,36,23.5,18.1,65,80,174,"60-69","Male"
"232",232,39.2,26.8,34,23.7,30.8,14.2,11.2,19.1,14.5,121.4,112.8,89.5,96.9,100.9,54.9,38.5,28.7,35.9,33.6,22.1,17.1,45,82.3,176.5,"40-49","Male"
"233",233,41.7,26.6,31.5,19.9,29.9,14.6,11.2,19.2,14.8,112.3,95.7,82.9,89.6,94.8,51.9,32.2,25.3,33.4,32.8,21.4,16.3,37,73.6,180.3,"30-39","Male"
"234",234,39.4,26.6,31.7,24,31.1,13.8,11.8,20,15.8,113.2,104.9,90.1,90.8,96.6,55,32.9,26.5,35.6,37.9,22.5,17.8,55,74.1,167.6,"50-59","Male"
"235",235,40.1,26.4,32,21.8,30.2,15.8,12.4,20.7,15.8,121.7,109.1,78.9,91,98.1,55.7,38.5,30.1,37.2,36.8,23.4,19.6,33,85.9,188,"30-39","Male"
"236",236,38.9,25.6,32.9,21.1,29,15.6,10.6,20.2,14.8,116.6,105.4,80.7,87.4,95.5,56.8,38.3,28.6,35,34.3,23.3,17.3,25,73.2,180.3,"20-29","Male"
"237",237,38.9,26.4,31.7,21.6,27.8,14.4,11.3,19.6,14.8,117.8,104.3,94.3,99.4,100.4,59.1,35,26.7,35.5,35.9,22.6,17.3,35,76.3,167.6,"30-39","Male"
"238",238,41.7,26.4,31.1,20.2,28.3,14.6,10.2,18.4,15.3,118,100.5,70.2,79.3,92,51.7,32.1,26.7,33.2,34.9,23.7,18.4,28,65.9,183,"20-29","Male"
"239",239,43.2,26.8,32.6,22.1,32.9,15.4,12,20.5,16.8,131.1,111.8,83.6,92.7,101.5,59.5,40.4,31.7,36.7,38.3,25.5,19.4,26,90.9,183,"20-29","Male"
"240",240,40.5,29.2,33.5,23.7,31.1,15.2,11.3,20,16.1,121.4,109.5,91.9,96.5,103.3,57.7,36.5,29.1,34.6,38.8,25.1,18.9,43,89.1,179.1,"40-49","Male"
"241",241,39.2,23.5,29.9,19.7,29,15.4,11.5,19,14.8,116.3,101.2,71.8,82.3,87.6,50.1,34.2,29.2,34.1,33.4,23.1,18.3,30,62.3,170.2,"30-39","Male"
"242",242,40.9,25.4,32,20.6,30.2,16.1,11.5,19.3,15.8,121.8,103.3,85,90.8,97.9,55.2,35.2,29.4,34.9,37.3,23.5,17.3,26,82.7,177.8,"20-29","Male"
"243",243,41.7,27.3,31.5,21.8,29.7,14.9,11.8,18.9,13.6,118.2,101.6,85.7,91,95.9,50.9,34,28.4,35,34.3,21.1,16.3,51,79.1,179.1,"50-59","Male"
"244",244,43.8,32.2,38,25.4,32,16,10.7,21,16.8,126.3,103.1,96.5,99,111.8,62.3,34.8,27.5,41.7,37,24.3,16.7,30,98.2,190.5,"30-39","Male"
"245",245,41.9,28,33.1,26.4,29.9,15.6,11.5,21.2,15.9,121,104.6,82.4,85.7,99.9,63.3,38.6,32,38.4,39.8,25.4,18.1,24,84.1,177.8,"20-29","Male"
"246",246,43,27.8,34.2,21.4,31.5,14.3,11.1,21,14.8,123.1,104.3,86.3,87.8,103.3,59.7,36.4,30.4,39.3,42,27.7,18.4,35,83.2,180.3,"30-39","Male"
"247",247,41.5,28.5,33.5,19.7,29.4,14.5,10.5,19.4,15.3,114.9,95.9,83.2,88,100.6,57.8,34,28.2,36.3,39.6,25.2,17,37,83.2,180.3,"30-39","Male"
